mseed stseed accuracy
33165001 11002 0.7222222222222222
33165002 11002 0.6111111111111112
33165003 11002 1.0
33165004 11002 0.8333333333333334
33165005 11002 0.9444444444444444
33165006 11002 1.0
33165007 11002 0.6666666666666666
33165008 11002 0.6111111111111112
33165009 11002 0.8888888888888888
33165010 11002 0.7222222222222222
33165011 11002 0.7777777777777778
33165012 11002 0.8333333333333334
33165013 11002 0.9444444444444444
33165014 11002 0.5555555555555556
33165015 11002 0.6666666666666666
33165016 11002 0.3333333333333333
33165017 11002 0.6111111111111112
33165018 11002 0.7222222222222222
33165019 11002 0.8888888888888888
33165020 11002 0.8333333333333334
33165021 11002 0.7777777777777778
33165022 11002 0.8333333333333334
33165023 11002 0.5555555555555556
33165024 11002 0.8333333333333334
33165025 11002 0.7777777777777778
33165026 11002 0.6111111111111112
33165027 11002 0.7777777777777778
33165028 11002 0.6111111111111112
33165029 11002 0.5555555555555556
33165030 11002 0.9444444444444444
44165001 11002 0.7777777777777778
44165002 11002 0.7777777777777778
44165003 11002 0.7222222222222222
44165004 11002 0.9444444444444444
44165005 11002 0.4444444444444444
44165006 11002 0.8888888888888888
44165007 11002 1.0
44165008 11002 0.6111111111111112
44165009 11002 0.6666666666666666
44165010 11002 0.8888888888888888
44165011 11002 0.8333333333333334
44165012 11002 0.3888888888888889
44165013 11002 0.4444444444444444
44165014 11002 0.6666666666666666
44165015 11002 0.7777777777777778
44165016 11002 0.7777777777777778
44165017 11002 0.5555555555555556
44165018 11002 0.6111111111111112
44165019 11002 0.8888888888888888
44165020 11002 0.9444444444444444
44165021 11002 0.9444444444444444
44165022 11002 1.0
44165023 11002 1.0
44165024 11002 0.9444444444444444
44165025 11002 0.9444444444444444
44165026 11002 0.7222222222222222
44165027 11002 0.6111111111111112
44165028 11002 0.8888888888888888
44165029 11002 0.7222222222222222
44165030 11002 1.0
55165001 11002 0.7777777777777778
55165002 11002 0.6666666666666666
55165003 11002 0.6111111111111112
55165004 11002 0.6111111111111112
55165005 11002 0.7777777777777778
55165006 11002 0.16666666666666666
55165007 11002 0.4444444444444444
55165008 11002 0.7222222222222222
55165009 11002 0.7222222222222222
55165010 11002 0.7222222222222222
55165011 11002 0.7777777777777778
55165012 11002 0.2777777777777778
55165013 11002 0.7222222222222222
55165014 11002 0.6666666666666666
55165015 11002 0.7777777777777778
55165016 11002 0.5555555555555556
55165017 11002 0.3888888888888889
55165018 11002 0.7222222222222222
55165019 11002 0.5555555555555556
55165020 11002 1.0
55165021 11002 0.8333333333333334
55165022 11002 0.7222222222222222
55165023 11002 0.7222222222222222
55165024 11002 0.3888888888888889
55165025 11002 0.5
55165026 11002 0.6111111111111112
55165027 11002 0.6111111111111112
55165028 11002 0.8888888888888888
55165029 11002 0.6111111111111112
55165030 11002 0.8888888888888888
66165001 11002 1.0
66165002 11002 0.8333333333333334
66165003 11002 0.7777777777777778
66165004 11002 0.7777777777777778
66165005 11002 0.8888888888888888
66165006 11002 0.4444444444444444
66165007 11002 0.8333333333333334
66165008 11002 0.9444444444444444
66165009 11002 0.8333333333333334
66165010 11002 0.7222222222222222
66165011 11002 0.7222222222222222
66165012 11002 0.6111111111111112
66165013 11002 0.7222222222222222
66165014 11002 0.7777777777777778
66165015 11002 0.6111111111111112
66165016 11002 0.8333333333333334
66165017 11002 0.7222222222222222
66165018 11002 0.8333333333333334
66165019 11002 0.8888888888888888
66165020 11002 0.5
66165021 11002 0.6111111111111112
66165022 11002 0.6666666666666666
66165023 11002 0.7222222222222222
66165024 11002 0.8333333333333334
66165025 11002 0.5
66165026 11002 0.7222222222222222
66165027 11002 0.7777777777777778
66165028 11002 1.0
66165029 11002 1.0
66165030 11002 0.7222222222222222
77165001 11002 0.6666666666666666
77165002 11002 0.7222222222222222
77165003 11002 0.8888888888888888
77165004 11002 0.5555555555555556
77165005 11002 0.6111111111111112
77165006 11002 0.8333333333333334
77165007 11002 0.8333333333333334
77165008 11002 0.6666666666666666
77165009 11002 0.7777777777777778
77165010 11002 0.7222222222222222
77165011 11002 0.7222222222222222
77165012 11002 0.8333333333333334
77165013 11002 0.6666666666666666
77165014 11002 0.6666666666666666
77165015 11002 0.8333333333333334
77165016 11002 0.8888888888888888
77165017 11002 0.7222222222222222
77165018 11002 0.8888888888888888
77165019 11002 0.7777777777777778
77165020 11002 0.5
77165021 11002 0.8333333333333334
77165022 11002 0.8333333333333334
77165023 11002 0.7222222222222222
77165024 11002 0.9444444444444444
77165025 11002 1.0
77165026 11002 0.8888888888888888
77165027 11002 0.6666666666666666
77165028 11002 0.7777777777777778
77165029 11002 0.6666666666666666
77165030 11002 0.7222222222222222
88165001 11002 0.7777777777777778
88165002 11002 1.0
88165003 11002 0.8888888888888888
88165004 11002 0.6666666666666666
88165005 11002 0.2777777777777778
88165006 11002 0.7777777777777778
88165007 11002 0.5555555555555556
88165008 11002 0.6666666666666666
88165009 11002 0.8333333333333334
88165010 11002 0.6111111111111112
88165011 11002 0.6666666666666666
88165012 11002 0.6111111111111112
88165013 11002 0.7222222222222222
88165014 11002 0.8888888888888888
88165015 11002 0.7222222222222222
88165016 11002 0.8888888888888888
88165017 11002 0.7777777777777778
88165018 11002 0.7222222222222222
88165019 11002 0.7777777777777778
88165020 11002 0.9444444444444444
88165021 11002 0.8333333333333334
88165022 11002 0.9444444444444444
88165023 11002 0.8888888888888888
88165024 11002 0.7777777777777778
88165025 11002 0.8333333333333334
88165026 11002 0.7777777777777778
88165027 11002 0.5
88165028 11002 0.5
88165029 11002 0.7222222222222222
88165030 11002 0.7222222222222222
